支付宝交易记录明细查询
账号:[17611240909]
起始日期:[2021-06-03 00:00:00]    终止日期:[2021-07-03 16:32:45]
---------------------------------交易记录明细列表------------------------------------
交易号                  ,商家订单号               ,交易创建时间              ,付款时间                ,最近修改时间              ,交易来源地     ,类型              ,交易对方            ,商品名称                ,金额（元）   ,收/支     ,交易状态    ,服务费（元）   ,成功退款（元）  ,备注                  ,资金状态     ,
2021070322001445241426028501	,16252938600902339345244	,2021-07-03 14:31:00 ,2021-07-03 14:31:04 ,2021-07-03 14:31:04 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,便民超市            ,收钱码收款               ,13.00   ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2021070322001445241425955544_20210703000089237121024	,20210703000162593601024	,2021-07-03 13:07:07 ,                    ,2021-07-03 13:07:07 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,叮咚买菜            ,退款-叮咚买菜-2107032472315251024,0.14    ,        ,退款成功    ,0.00     ,0.00     ,                    ,已收入      ,
2021070322001445241425955544	,20210703000162593601024	,2021-07-03 13:03:02 ,2021-07-03 13:03:02 ,2021-07-03 13:07:07 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,叮咚买菜            ,叮咚买菜-2107032472315251024,18.17   ,支出      ,交易成功    ,0.00     ,0.14     ,                    ,已支出      ,
20210703308373965241 	,                    	,2021-07-03 03:34:29 ,                    ,2021-07-03 03:34:29 ,支付宝网站     ,即时到账交易          ,中欧基金管理有限公司      ,余额宝-2021.07.02-收益发放 ,5.47    ,        ,交易成功    ,0.00     ,0.00     ,                    ,已收入      ,
2021070222001445241425239578	,CPR2107022132082378082699J	,2021-07-02 21:32:08 ,2021-07-02 21:32:08 ,2021-07-02 21:33:02 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,哈啰出行            ,哈啰单车骑行              ,1.50    ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
20210702200040011100240099768009	,                    	,2021-07-02 20:13:34 ,2021-07-02 20:13:37 ,2021-07-02 20:13:37 ,支付宝网站     ,即时到账交易          ,诺诺(苑溪柳)         ,代买                  ,58.40   ,支出      ,交易成功    ,0.00     ,0.00     ,代买                  ,已支出      ,
2021070222001145241425723001_1919289135350859710	,T200P1919289135350859710	,2021-07-02 13:13:44 ,                    ,2021-07-02 13:13:44 ,淘宝        ,支付宝担保交易         ,当当网官方旗舰店        ,退款-保险原理与实务（第四版）（&ldquo;十三五&rdquo;普通高等教育应用型规划教材&middot;金融系列）,34.70   ,        ,退款成功    ,0.00     ,0.00     ,                    ,已收入      ,
2021070222001145241425723001	,T200P1919289135350859710	,2021-07-02 13:12:52 ,2021-07-02 13:12:54 ,2021-07-02 13:13:44 ,淘宝        ,支付宝担保交易         ,当当网官方旗舰店        ,保险原理与实务（第四版）（&ldquo;十三五&rdquo;普通高等教育应用型规划教材&middot;金融系列）,34.70   ,支出      ,交易关闭    ,0.00     ,34.70    ,                    ,已支出      ,
2021070222001445241425024372	,20210702093641699053	,2021-07-02 09:36:44 ,2021-07-02 09:36:44 ,2021-07-02 09:36:44 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,北京轨道交通路网管理有限公司  ,7月2日08:14 - 北京轨道交通扫码乘车,7.00    ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
20210702302406459241 	,                    	,2021-07-02 05:39:32 ,                    ,2021-07-02 05:39:32 ,支付宝网站     ,即时到账交易          ,中欧基金管理有限公司      ,余额宝-2021.07.01-收益发放 ,5.50    ,        ,交易成功    ,0.00     ,0.00     ,                    ,已收入      ,
2021070122001445241425031378	,20210701102341830053	,2021-07-01 10:23:43 ,2021-07-01 10:23:43 ,2021-07-01 10:23:43 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,北京轨道交通路网管理有限公司  ,7月1日09:03 - 北京轨道交通扫码乘车,7.00    ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
20210701395894857241 	,                    	,2021-07-01 05:50:30 ,                    ,2021-07-01 05:50:30 ,支付宝网站     ,即时到账交易          ,中欧基金管理有限公司      ,余额宝-2021.06.30-收益发放 ,5.43    ,        ,交易成功    ,0.00     ,0.00     ,                    ,已收入      ,
2021063022001445241424050722	,210_202106307342362701187771	,2021-06-30 11:19:53 ,2021-06-30 11:19:53 ,2021-06-30 11:19:53 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,滴滴出行            ,滴滴快车-蔡师傅-06月28日行程   ,11.67   ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2021063022001445241423961151	,20210630111741756053	,2021-06-30 11:17:42 ,2021-06-30 11:17:42 ,2021-06-30 11:17:42 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,北京轨道交通路网管理有限公司  ,6月30日09:58 - 北京轨道交通扫码乘车,3.50    ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
20210630388581941241 	,                    	,2021-06-30 05:46:15 ,                    ,2021-06-30 05:46:15 ,支付宝网站     ,即时到账交易          ,中欧基金管理有限公司      ,余额宝-2021.06.29-收益发放 ,5.46    ,        ,交易成功    ,0.00     ,0.00     ,                    ,已收入      ,
2021062922001445241423529587	,20210629101802523053	,2021-06-29 10:18:02 ,2021-06-29 10:18:03 ,2021-06-29 10:18:03 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,北京轨道交通路网管理有限公司  ,6月29日08:54 - 北京轨道交通扫码乘车,3.50    ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
20210629381047706241 	,                    	,2021-06-29 05:42:21 ,                    ,2021-06-29 05:42:21 ,支付宝网站     ,即时到账交易          ,中欧基金管理有限公司      ,余额宝-2021.06.28-收益发放 ,5.38    ,        ,交易成功    ,0.00     ,0.00     ,                    ,已收入      ,
2021062822001445241423361985	,20210628104402196053	,2021-06-28 10:44:02 ,2021-06-28 10:44:03 ,2021-06-28 10:44:03 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,北京轨道交通路网管理有限公司  ,6月28日09:07 - 北京轨道交通扫码乘车,3.50    ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2021062822001445241423233019	,210_202106287339511801294842	,2021-06-28 10:42:25 ,2021-06-28 10:42:25 ,2021-06-28 10:42:25 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,滴滴出行            ,滴滴快车-刘师傅-06月26日行程   ,13.38   ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
20210628375343608241 	,                    	,2021-06-28 05:57:23 ,                    ,2021-06-28 05:57:23 ,支付宝网站     ,即时到账交易          ,中欧基金管理有限公司      ,余额宝-2021.06.27-收益发放 ,5.37    ,        ,交易成功    ,0.00     ,0.00     ,                    ,已收入      ,
2021062722001445241422992127_20210627000148181421285	,20210627000284382401285	,2021-06-27 18:05:03 ,                    ,2021-06-27 18:05:03 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,叮咚买菜            ,退款-叮咚买菜-2106272472314441285,0.62    ,        ,退款成功    ,0.00     ,0.00     ,                    ,已收入      ,
2021062722001445241422467074	,21062711100400000025604330315757	,2021-06-27 18:02:59 ,2021-06-27 18:02:59 ,2021-06-27 18:02:59 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,美团              ,美团订单-21062711100400000025604330315757,38.60   ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2021062722001445241422992127	,20210627000284382401285	,2021-06-27 18:02:12 ,2021-06-27 18:02:12 ,2021-06-27 18:05:03 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,叮咚买菜            ,叮咚买菜-2106272472314441285,38.89   ,支出      ,交易成功    ,0.00     ,0.62     ,                    ,已支出      ,
20210627367267034241 	,                    	,2021-06-27 03:56:33 ,                    ,2021-06-27 03:56:33 ,支付宝网站     ,即时到账交易          ,中欧基金管理有限公司      ,余额宝-2021.06.26-收益发放 ,5.37    ,        ,交易成功    ,0.00     ,0.00     ,                    ,已收入      ,
2021062622001445241422000515	,16247094644902339345244	,2021-06-26 20:11:03 ,2021-06-26 20:11:07 ,2021-06-26 20:11:07 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,农夫天下            ,收钱码收款               ,26.50   ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2021062622001445241421983323	,20210626200141730053	,2021-06-26 20:01:42 ,2021-06-26 20:01:43 ,2021-06-26 20:01:43 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,北京轨道交通路网管理有限公司  ,6月26日19:17 - 北京轨道交通扫码乘车,2.50    ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2021062622001445241421504532	,121266000048180000T6268949520210626184850513001	,2021-06-26 18:48:50 ,2021-06-26 18:48:56 ,2021-06-26 18:48:56 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,北京蜀国江上烤鱼香锅餐饮店   ,北京蜀国江上烤鱼香锅餐饮店       ,218.00  ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2021062622001445241421403279	,20210626171721740053	,2021-06-26 17:17:22 ,2021-06-26 17:17:22 ,2021-06-26 17:17:22 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,北京轨道交通路网管理有限公司  ,6月26日16:08 - 北京轨道交通扫码乘车,3.00    ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2021062622001445241421734316	,210_202106267337024701512597	,2021-06-26 15:43:38 ,2021-06-26 15:43:38 ,2021-06-26 15:43:38 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,滴滴出行            ,滴滴快车-邵师傅-06月26日行程   ,38.64   ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2021062622001445241422260619	,20210626141621612053	,2021-06-26 14:16:21 ,2021-06-26 14:16:22 ,2021-06-26 14:16:22 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,北京轨道交通路网管理有限公司  ,6月26日12:54 - 北京轨道交通扫码乘车,3.50    ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
